team,elo_mov,elo_mov_rank,avg_rank_x,iter_power,ip_rank,avg_rank_y,bscore,bs_rank,avg_rank,combined_rank
brazil,1648.3761229811935,1,1.0,0.9993587331205455,1,1.0,0.24003405494069271,1,1.0,1
netherlands,1591.29217533805,4,4.0,0.8127514677203287,3,3.0,0.22857663484307267,2,3.0,2
peru,1597.4951086846615,2,2.0,0.9258857171922277,2,2.0,0.2062592814276477,6,3.3333333333333335,3
china,1594.9788538960688,3,3.0,0.5453096072552329,5,5.0,0.20698932266745168,5,4.333333333333333,4
pakistan,1578.2357229103682,5,5.0,0.5860923483445235,4,4.0,0.20773857004745905,4,4.333333333333333,5
thailand,1578.2091101715564,6,6.0,0.5280915555324325,6,6.0,0.2057230966845305,7,6.333333333333333,6
iceland,1576.0856791631002,7,7.0,0.370653159055437,9,9.0,0.21162993605366756,3,6.333333333333333,7
india,1541.9746154763216,10,10.0,0.3126061188842065,10,10.0,0.20006298178399348,8,9.333333333333334,8
ethiopia,1557.041999361786,8,8.0,0.2384509635686391,11,11.0,0.18980328979792682,10,9.666666666666666,9
new_zealand,1555.5778831215503,9,9.0,-0.08670677752025817,16,16.0,0.19624208524603595,9,11.333333333333334,10
uk,1526.3312544521173,11,11.0,0.4026299032387793,8,8.0,0.16897270257854666,17,12.0,11
indonesia,1510.5281594223372,13,13.0,0.15762461782967305,12,12.0,0.18203902321273693,13,12.666666666666666,12
panama,1485.5494570261762,17,17.0,0.476102919167097,7,7.0,0.17422464374999183,14,12.666666666666666,13
serbia,1508.2000608682083,14,14.0,0.051347369485957146,14,14.0,0.18347786913707215,11,13.0,14
philippines,1503.6762560202042,15,15.0,0.13017268661194156,13,13.0,0.18315042576870813,12,13.333333333333334,15
guatemala,1514.8877976298586,12,12.0,-0.06842667913874376,15,15.0,0.17394561645030496,15,14.0,16
morocco,1491.0626901933776,16,16.0,-0.2607355830178189,22,22.0,0.17136691660421907,16,18.0,17
singapore,1471.2434272826858,20,20.0,-0.1908360058507807,19,19.0,0.16656456562417277,19,19.333333333333332,18
south_korea,1471.7859108393159,19,19.0,-0.1697216051437909,18,18.0,0.16009506138731952,22,19.666666666666668,19
saudi_arabia,1467.7323428419852,22,22.0,-0.12656621402246024,17,17.0,0.15509424205963646,24,21.0,20
mexico,1469.971890318856,21,21.0,-0.19469517808063605,20,20.0,0.1597036271123839,23,21.333333333333332,21
switzerland,1475.9595053801909,18,18.0,-0.2921375386189311,24,24.0,0.1498596805218951,26,22.666666666666668,22
vietnam,1462.6126805578272,23,23.0,-0.4047110343182502,25,25.0,0.1618075575481331,21,23.0,23
canada,1447.527382335543,26,26.0,-0.4812173768101446,27,27.0,0.1619125574970744,20,24.333333333333332,24
germany,1449.192152771701,25,25.0,-0.24120680598760927,21,21.0,0.14233366447766224,28,24.666666666666668,25
oman,1459.1142465067437,24,24.0,-0.4586544519377218,26,26.0,0.15240426310976832,25,25.0,26
uae,1440.4776875572243,28,28.0,-0.5863169783666313,29,29.0,0.1673515928161683,18,25.0,27
france,1443.3817859756848,27,27.0,-0.2920450439064451,23,23.0,0.14722618819426883,27,25.666666666666668,28
usa,1408.0878403120457,29,29.0,-0.5518230565899901,28,28.0,0.13603143221895903,30,29.0,29
kazakhstan,1397.3504881814788,31,31.0,-0.6675801918972559,30,30.0,0.14166327094657782,29,30.0,30
mongolia,1402.58263092015,30,30.0,-0.7499211294545414,32,32.0,0.12503909643712735,32,31.333333333333332,31
rwanda,1373.4770815016318,32,32.0,-0.7137755163450106,31,31.0,0.1260239165140204,31,31.333333333333332,32
