w1,w2,AUC,Brier
0.0,1.0,0.6297427234927235,0.23782380878892762
0.001,0.999,0.6296517671517672,0.23781735861339723
0.002,0.998,0.6296116046116047,0.23781093999047087
0.003,0.997,0.6295879795879796,0.2378045529201485
0.004,0.996,0.6295289170289171,0.23779819740243005
0.005,0.995,0.629491116991117,0.23779187343731564
0.006,0.994,0.6294367794367794,0.23778558102480513
0.007,0.993,0.6294131544131544,0.23777932016489872
0.008,0.992,0.6293162918162918,0.2377730908575962
0.009000000000000001,0.991,0.6292714042714043,0.23776689310289773
0.01,0.99,0.6291816291816292,0.23776072690080324
0.011,0.989,0.6291202041202041,0.2377545922513127
0.012,0.988,0.6290753165753166,0.23774848915442612
0.013000000000000001,0.987,0.6289902664902665,0.23774241761014359
0.014,0.986,0.6289288414288414,0.23773637761846497
0.015,0.985,0.6289004914004914,0.23773036917939033
0.016,0.984,0.6288650538650539,0.23772439229291975
0.017,0.983,0.6288485163485164,0.23771844695905311
0.018000000000000002,0.982,0.6288437913437913,0.23771253317779045
0.019,0.981,0.6288154413154413,0.2377066509491318
0.02,0.98,0.6287752787752788,0.23770080027307705
0.021,0.979,0.6287209412209412,0.2376949811496264
0.022,0.978,0.6286855036855037,0.23768919357877966
0.023,0.977,0.6286311661311661,0.23768343756053692
0.024,0.976,0.6285862785862786,0.23767771309489816
0.025,0.975,0.6285413910413911,0.2376720201818634
0.026000000000000002,0.974,0.6285154035154036,0.23766635882143258
0.027,0.973,0.6284516159516159,0.2376607290136058
0.028,0.972,0.628404365904366,0.237655130758383
0.029,0.971,0.6283783783783783,0.23764956405576412
0.03,0.97,0.6283287658287658,0.2376440289057493
0.031,0.969,0.6282815157815158,0.23763852530833834
0.032,0.968,0.6282697032697032,0.2376330532635315
0.033,0.967,0.6282531657531658,0.23762761277132854
0.034,0.966,0.6282295407295407,0.23762220383172963
0.035,0.965,0.6281822906822907,0.23761682644473472
0.036000000000000004,0.964,0.6281492156492158,0.23761148061034376
0.037,0.963,0.6281397656397656,0.23760616632855674
0.038,0.962,0.6280854280854281,0.23760088359937376
0.039,0.961,0.6280381780381781,0.23759563242279474
0.04,0.96,0.6279909279909279,0.23759041279881973
0.041,0.959,0.627943677943678,0.23758522472744867
0.042,0.958,0.6279554904554905,0.2375800682086816
0.043000000000000003,0.957,0.6279365904365903,0.23757494324251852
0.044,0.956,0.627882252882253,0.23756984982895946
0.045,0.955,0.6278019278019278,0.23756478796800434
0.046,0.954,0.6277688527688529,0.23755975765965315
0.047,0.953,0.6277145152145153,0.23755475890390604
0.048,0.952,0.6276790776790777,0.23754979170076287
0.049,0.951,0.6276271026271026,0.23754485605022363
0.05,0.95,0.6275774900774901,0.23753995195228844
0.051000000000000004,0.949,0.62749243999244,0.23753507940695723
0.052000000000000005,0.948,0.6274522774522775,0.23753023841423
0.053,0.947,0.6274073899073899,0.23752542897410672
0.054,0.946,0.6273341523341522,0.23752065108658743
0.055,0.945,0.6273105273105273,0.2375159047516722
0.056,0.944,0.6272491022491022,0.23751118996936088
0.057,0.943,0.6272113022113022,0.23750650673965354
0.058,0.942,0.6271735021735022,0.2375018550625502
0.059000000000000004,0.941,0.6271451521451521,0.23749723493805086
0.06,0.94,0.6271097146097147,0.2374926463661555
0.061,0.9390000000000001,0.6270766395766396,0.23748808934686408
0.062,0.938,0.627022302022302,0.2374835638801767
0.063,0.937,0.6269585144585144,0.23747906996609325
0.064,0.9359999999999999,0.6269018144018145,0.23747460760461384
0.065,0.935,0.6268592893592894,0.2374701767957383
0.066,0.9339999999999999,0.6268427518427518,0.23746577753946682
0.067,0.933,0.6267789642789643,0.2374614098357994
0.068,0.9319999999999999,0.6267529767529767,0.2374570736847359
0.069,0.931,0.6267222642222643,0.23745276908627633
0.07,0.9299999999999999,0.6266726516726517,0.2374484960404208
0.07100000000000001,0.929,0.6266372141372141,0.2374442545471692
0.07200000000000001,0.9279999999999999,0.6266443016443016,0.23744004460652166
0.073,0.927,0.6266112266112266,0.23743586621847804
0.074,0.926,0.6265923265923266,0.23743171938303845
0.075,0.925,0.6265734265734266,0.2374276041002028
0.076,0.924,0.6265120015120016,0.23742352036997114
0.077,0.923,0.6264954639954641,0.23741946819234347
0.078,0.922,0.6264883764883765,0.23741544756731978
0.079,0.921,0.626434038934039,0.23741145849490006
0.08,0.92,0.6263749763749764,0.23740750097508434
0.081,0.919,0.6263206388206388,0.2374035750078726
0.082,0.918,0.6262804762804763,0.23739968059326488
0.083,0.917,0.6262450387450388,0.2373958177312611
0.084,0.916,0.6262544887544887,0.23739198642186132
0.085,0.915,0.6262166887166888,0.2373881866650655
0.08600000000000001,0.914,0.6261718011718012,0.2373844184608737
0.08700000000000001,0.913,0.6261174636174636,0.2373806818092859
0.088,0.912,0.6260654885654886,0.23737697671030197
0.089,0.911,0.6259993384993385,0.2373733031639221
0.09,0.91,0.625935550935551,0.23736966117014624
0.091,0.909,0.6259024759024758,0.23736605072897432
0.092,0.908,0.6258694008694008,0.23736247184040637
0.093,0.907,0.6257890757890758,0.23735892450444243
0.094,0.906,0.6257819882819883,0.2373554087210825
0.095,0.905,0.6257134757134757,0.23735192449032655
0.096,0.904,0.6256945756945756,0.2373484718121745
0.097,0.903,0.6256733131733132,0.23734505068662648
0.098,0.902,0.6256402381402382,0.23734166111368246
0.099,0.901,0.6255929880929881,0.23733830309334242
0.1,0.9,0.6255339255339256,0.2373349766256064
0.101,0.899,0.6254961254961255,0.23733168171047433
0.10200000000000001,0.898,0.625474862974863,0.23732841834794619
0.10300000000000001,0.897,0.6254205254205254,0.23732518653802206
0.10400000000000001,0.896,0.6253921753921754,0.23732198628070192
0.105,0.895,0.625356737856738,0.2373188175759858
0.106,0.894,0.6253213003213003,0.23731568042387366
0.107,0.893,0.6252693252693253,0.23731257482436544
0.108,0.892,0.6252598752598753,0.2373095007774613
0.109,0.891,0.6252338877338877,0.23730645828316105
0.11,0.89,0.6251559251559252,0.23730344734146483
0.111,0.889,0.6251204876204877,0.23730046795237253
0.112,0.888,0.6250945000945001,0.2372975201158843
0.113,0.887,0.6250685125685125,0.237294603832
0.114,0.886,0.6250023625023625,0.23729171910071972
0.115,0.885,0.624966924966925,0.23728886592204343
0.116,0.884,0.6249314874314875,0.23728604429597108
0.117,0.883,0.6248913248913249,0.23728325422250268
0.11800000000000001,0.882,0.6248558873558874,0.23728049570163828
0.11900000000000001,0.881,0.6248062748062748,0.23727776873337794
0.12,0.88,0.6247920997920998,0.23727507331772155
0.121,0.879,0.6247708372708374,0.2372724094546691
0.122,0.878,0.6246952371952372,0.23726977714422065
0.123,0.877,0.6246243621243621,0.2372671763863762
