w1,w2,w3,AUC,Brier
0.0,0.0,1.0,0.6297427234927235,0.23782380878892762
0.0,0.01,0.99,0.6291816291816292,0.23776072690080324
0.0,0.02,0.98,0.6287752787752788,0.23770080027307705
0.0,0.03,0.97,0.6283287658287658,0.2376440289057493
0.0,0.04,0.96,0.6279909279909279,0.23759041279881973
0.0,0.05,0.95,0.6275774900774901,0.23753995195228844
0.0,0.06,0.94,0.6271097146097147,0.2374926463661555
0.0,0.07,0.9299999999999999,0.6266726516726517,0.2374484960404208
0.0,0.08,0.92,0.6263749763749764,0.23740750097508434
0.0,0.09,0.91,0.625935550935551,0.23736966117014624
0.0,0.1,0.9,0.6255339255339256,0.2373349766256064
0.0,0.11,0.89,0.6251559251559252,0.23730344734146483
0.0,0.12,0.88,0.6247920997920998,0.23727507331772155
0.0,0.13,0.87,0.6242676242676243,0.23724985455437653
0.0,0.14,0.86,0.6237407862407862,0.2372277910514298
0.0,0.15,0.85,0.6231832356832356,0.23720888280888142
0.0,0.16,0.84,0.6226705726705727,0.23719312982673124
0.0,0.17,0.83,0.6220586845586845,0.23718053210497936
0.0,0.18,0.8200000000000001,0.6216050841050841,0.23717108964362574
0.0,0.19,0.81,0.6210097335097335,0.23716480244267046
0.0,0.2,0.8,0.6205821205821206,0.23716167050211345
0.0,0.21,0.79,0.6199938574938575,0.23716169382195473
0.0,0.22,0.78,0.619497731997732,0.23716487240219425
0.0,0.23,0.77,0.619117369117369,0.23717120624283214
0.0,0.24,0.76,0.6184794934794935,0.23718069534386826
0.0,0.25,0.75,0.6178109053109053,0.23719333970530265
0.0,0.26,0.74,0.6171872046872047,0.23720913932713528
0.0,0.27,0.73,0.6165091665091664,0.23722809420936625
0.0,0.28,0.72,0.6160248535248536,0.23725020435199554
0.0,0.29,0.71,0.6154720279720279,0.23727546975502303
0.0,0.3,0.7,0.6148010773010772,0.23730389041844885
0.0,0.31,0.69,0.6141891891891892,0.23733546634227295
0.0,0.32,0.6799999999999999,0.6135749385749386,0.23737019752649532
0.0,0.33,0.6699999999999999,0.6129134379134379,0.237408083971116
0.0,0.34,0.6599999999999999,0.6123204498204498,0.23744912567613494
0.0,0.35000000000000003,0.6499999999999999,0.6117250992250992,0.23749332264155218
0.0,0.36,0.64,0.611084861084861,0.23754067486736768
0.0,0.37,0.63,0.610439897939898,0.23759118235358148
0.0,0.38,0.62,0.6096460971460972,0.23764484510019354
0.0,0.39,0.61,0.609001134001134,0.2377016631072039
0.0,0.4,0.6,0.6083585333585333,0.2377616363746126
0.0,0.41000000000000003,0.59,0.6076899451899452,0.23782476490241947
0.0,0.42,0.5800000000000001,0.606950481950482,0.23789104869062472
0.0,0.43,0.5700000000000001,0.6062393687393688,0.23796048773922818
0.0,0.44,0.56,0.6055613305613305,0.23803308204822995
0.0,0.45,0.55,0.6049045549045549,0.23810883161763005
0.0,0.46,0.54,0.6042454167454168,0.2381877364474284
