Combination,Opt_by,w1,w2,w3,AUC,Brier
Elo(538-MOV) + IP + BS,Brier,0.19,0.35000000000000003,0.46,0.6222500472500473,0.23678283132561623
Elo(538-MOV) + IP + BS,AUC,0.0,0.68,0.31999999999999995,0.6308932621432621,0.23733100136520366
Elo(basic) + IP + BS,Brier,0.2,0.39,0.41000000000000003,0.621491683991684,0.23666433999082198
Elo(basic) + IP + BS,AUC,0.0,0.68,0.31999999999999995,0.6308932621432621,0.23733100136520366
Elo(538-MOV) + J-A-Elo + IP,Brier,0.0,0.2,0.8,0.6205821205821206,0.23716167050211345
Elo(538-MOV) + J-A-Elo + IP,AUC,0.0,0.0,1.0,0.6297427234927235,0.23782380878892762
Log-Elo + IP + BS,Brier,0.14,0.41000000000000003,0.44999999999999996,0.6233438858438858,0.2369488482643488
Log-Elo + IP + BS,AUC,0.0,0.68,0.31999999999999995,0.6308932621432621,0.23733100136520366
