method,size,components,AUC,Brier,NDCG,MAP@16,Sp_Standings,Tau_Standings,Sp_Pyth,Tau_Pyth,weights,rank_q,prob_q,SubScore
mult_elo+log_elo,2,Mult-Elo + Log-Elo,0.6113,0.2391,0.9853,0.8025,0.7586,0.5921,0.7676,0.5806,Mult-Elo=0% / Log-Elo=100%,0.07915498279143111,0.6720503995041106,0.3756
lin_elo+log_elo,2,Lin-Elo + Log-Elo,0.6113,0.2391,0.9853,0.8025,0.7586,0.5921,0.7676,0.5806,Lin-Elo=0% / Log-Elo=100%,0.07915498279143111,0.6720503995041106,0.3756
lin_elo+mult_elo+log_elo,3,Lin-Elo + Mult-Elo + Log-Elo,0.6113,0.2391,0.9853,0.8025,0.7586,0.5921,0.7676,0.5806,Lin-Elo=0% / Mult-Elo=0% / Log-Elo=100%,0.07915498279143111,0.6720503995041106,0.3756
lin_elo+parx,2,Lin-Elo + PARX,0.6087,0.2407,0.9865,0.8067,0.7238,0.5473,0.7848,0.6048,Lin-Elo=69% / PARX=31%,0.13234545946010354,0.583891333106492,0.3581
lin_elo+mult_elo+parx,3,Lin-Elo + Mult-Elo + PARX,0.6087,0.2407,0.9865,0.8067,0.7238,0.5473,0.7830,0.6048,Lin-Elo=70% / Mult-Elo=0% / PARX=30%,0.13245926964533664,0.5837772280692686,0.3581
mult_elo+parx,2,Mult-Elo + PARX,0.6074,0.2410,0.9844,0.7914,0.7306,0.5473,0.7687,0.5887,Mult-Elo=67% / PARX=33%,0.04647457584393535,0.562735028868133,0.3046
lin_elo+mult_elo,2,Lin-Elo + Mult-Elo,0.6072,0.2427,0.9844,0.8006,0.7031,0.5270,0.7478,0.5685,Lin-Elo=100% / Mult-Elo=0%,0.04658854673464879,0.4664118284995547,0.2565
lin_elo,1,Lin-Elo,0.6072,0.2427,0.9844,0.8006,0.7031,0.5270,0.7478,0.5685,—,0.04658854673464879,0.4664118284995547,0.2565
mult_elo,1,Mult-Elo,0.6048,0.2434,0.9839,0.7944,0.7078,0.5310,0.7379,0.5484,—,0.009191654134008779,0.4255392503690824,0.2174
parx,1,PARX,0.6082,0.2507,0.9884,0.8225,0.7445,0.5717,0.8424,0.6613,—,0.24735856510924806,0.0,0.1237
