method,size,components,AUC,Brier,NDCG,MAP@16,Sp_Standings,Tau_Standings,Sp_Pyth,Tau_Pyth,weights,rank_q,prob_q,SubScore
elo_mov+ja_elo+bs,3,Elo(538-MOV) + J-A-Elo + BS,0.6257,0.2341,0.9971,0.9179,0.8970,0.7386,0.9263,0.7782,Elo(538-MOV)=60% / J-A-Elo=0% / BS=40%,0.7089103482297784,0.9608327487749523,0.8349
elo_mov+lin_elo+bs,3,Elo(538-MOV) + Lin-Elo + BS,0.6257,0.2341,0.9971,0.9179,0.8970,0.7386,0.9263,0.7782,Elo(538-MOV)=60% / Lin-Elo=0% / BS=40%,0.7089103482297784,0.9608327487749523,0.8349
elo_mov+bs,2,Elo(538-MOV) + BS,0.6258,0.2341,0.9971,0.9132,0.8977,0.7386,0.9245,0.7702,Elo(538-MOV)=59% / BS=41%,0.6946931440081027,0.9609540515263438,0.8278
elo_basic+elo_mov+bs,3,Elo(basic) + Elo(538-MOV) + BS,0.6255,0.2341,0.9958,0.9156,0.8975,0.7427,0.9087,0.7419,Elo(basic)=20% / Elo(538-MOV)=40% / BS=40%,0.6480870335828711,0.9647247381453725,0.8064
elo_mov+lin_elo,2,Elo(538-MOV) + Lin-Elo,0.6244,0.2361,0.9959,0.9240,0.8645,0.6979,0.9362,0.8024,Elo(538-MOV)=100% / Lin-Elo=0%,0.7144412628192024,0.8488864175201887,0.7817
elo_mov,1,Elo(538-MOV),0.6244,0.2361,0.9959,0.9240,0.8645,0.6979,0.9362,0.8024,—,0.7144412628192024,0.8488864175201887,0.7817
elo_mov+log_elo,2,Elo(538-MOV) + Log-Elo,0.6244,0.2361,0.9959,0.9240,0.8645,0.6979,0.9362,0.8024,Elo(538-MOV)=100% / Log-Elo=0%,0.7144412628192024,0.8488864175201887,0.7817
elo_mov+lin_elo+mult_elo,3,Elo(538-MOV) + Lin-Elo + Mult-Elo,0.6244,0.2361,0.9959,0.9240,0.8645,0.6979,0.9362,0.8024,Elo(538-MOV)=100% / Lin-Elo=0% / Mult-Elo=0%,0.7144412628192024,0.8488864175201887,0.7817
elo_mov+lin_elo+log_elo,3,Elo(538-MOV) + Lin-Elo + Log-Elo,0.6244,0.2361,0.9959,0.9240,0.8645,0.6979,0.9362,0.8024,Elo(538-MOV)=100% / Lin-Elo=0% / Log-Elo=0%,0.7144412628192024,0.8488864175201887,0.7817
elo_mov+mult_elo,2,Elo(538-MOV) + Mult-Elo,0.6244,0.2361,0.9959,0.9240,0.8645,0.6979,0.9362,0.8024,Elo(538-MOV)=100% / Mult-Elo=0%,0.7144412628192024,0.8488864175201887,0.7817
elo_mov+mult_elo+log_elo,3,Elo(538-MOV) + Mult-Elo + Log-Elo,0.6244,0.2361,0.9959,0.9240,0.8645,0.6979,0.9362,0.8024,Elo(538-MOV)=100% / Mult-Elo=0% / Log-Elo=0%,0.7144412628192024,0.8488864175201887,0.7817
elo_mov+ja_elo,2,Elo(538-MOV) + J-A-Elo,0.6241,0.2361,0.9960,0.9240,0.8649,0.7020,0.9351,0.7984,Elo(538-MOV)=96% / J-A-Elo=4%,0.712060956858846,0.8490050794094379,0.7805
elo_basic+bs,2,Elo(basic) + BS,0.6233,0.2343,0.9962,0.9046,0.8917,0.7304,0.8702,0.7016,Elo(basic)=59% / BS=41%,0.6059994089606033,0.9524826075557146,0.7792
elo_basic+ja_elo+bs,3,Elo(basic) + J-A-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.8917,0.7304,0.8702,0.7016,Elo(basic)=60% / J-A-Elo=0% / BS=40%,0.6059994089606033,0.9523630959869157,0.7792
elo_basic+lin_elo+bs,3,Elo(basic) + Lin-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.8917,0.7304,0.8702,0.7016,Elo(basic)=60% / Lin-Elo=0% / BS=40%,0.6059994089606033,0.9523630959869157,0.7792
elo_basic+bs+parx,3,Elo(basic) + BS + PARX,0.6231,0.2343,0.9962,0.9046,0.8917,0.7304,0.8702,0.7016,Elo(basic)=60% / BS=40% / PARX=-0%,0.6059994089606033,0.9523630959869157,0.7792
elo_basic+mult_elo+bs,3,Elo(basic) + Mult-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.8917,0.7304,0.8702,0.7016,Elo(basic)=60% / Mult-Elo=0% / BS=40%,0.6059994089606033,0.9523630959869157,0.7792
elo_basic+log_elo+bs,3,Elo(basic) + Log-Elo + BS,0.6231,0.2343,0.9962,0.9046,0.8917,0.7304,0.8702,0.7016,Elo(basic)=60% / Log-Elo=0% / BS=40%,0.6059994089606033,0.9523630959869157,0.7792
elo_mov+ja_elo+mult_elo,3,Elo(538-MOV) + J-A-Elo + Mult-Elo,0.6240,0.2361,0.9958,0.9171,0.8614,0.6979,0.9333,0.7944,Elo(538-MOV)=95% / J-A-Elo=5% / Mult-Elo=-0%,0.6918071014736684,0.8489884261097614,0.7704
elo_mov+ja_elo+log_elo,3,Elo(538-MOV) + J-A-Elo + Log-Elo,0.6240,0.2361,0.9958,0.9171,0.8614,0.6979,0.9333,0.7944,Elo(538-MOV)=95% / J-A-Elo=5% / Log-Elo=-0%,0.6918071014736684,0.8489884261097614,0.7704
elo_mov+lin_elo+ja_elo,3,Elo(538-MOV) + Lin-Elo + J-A-Elo,0.6240,0.2361,0.9958,0.9171,0.8614,0.6979,0.9333,0.7944,Elo(538-MOV)=95% / Lin-Elo=0% / J-A-Elo=5%,0.6918071014736684,0.8489884261097614,0.7704
elo_basic+elo_mov+log_elo,3,Elo(basic) + Elo(538-MOV) + Log-Elo,0.6244,0.2357,0.9964,0.9102,0.8704,0.7060,0.9128,0.7540,Elo(basic)=45% / Elo(538-MOV)=55% / Log-Elo=0%,0.6606478736501687,0.8676705988427963,0.7642
elo_basic+elo_mov+mult_elo,3,Elo(basic) + Elo(538-MOV) + Mult-Elo,0.6244,0.2357,0.9964,0.9102,0.8704,0.7060,0.9128,0.7540,Elo(basic)=45% / Elo(538-MOV)=55% / Mult-Elo=0%,0.6606478736501687,0.8676705988427963,0.7642
elo_basic+elo_mov+ja_elo,3,Elo(basic) + Elo(538-MOV) + J-A-Elo,0.6244,0.2357,0.9964,0.9102,0.8704,0.7060,0.9128,0.7540,Elo(basic)=45% / Elo(538-MOV)=55% / J-A-Elo=0%,0.6606478736501687,0.8676705988427963,0.7642
elo_basic+elo_mov+lin_elo,3,Elo(basic) + Elo(538-MOV) + Lin-Elo,0.6244,0.2357,0.9964,0.9102,0.8704,0.7060,0.9128,0.7540,Elo(basic)=45% / Elo(538-MOV)=55% / Lin-Elo=0%,0.6606478736501687,0.8676705988427963,0.7642
elo_basic+elo_mov+parx,3,Elo(basic) + Elo(538-MOV) + PARX,0.6219,0.2350,0.9953,0.8985,0.8638,0.6898,0.9058,0.7460,Elo(basic)=55% / Elo(538-MOV)=25% / PARX=20%,0.6084511721646612,0.9121878046239158,0.7603
elo_basic+elo_mov,2,Elo(basic) + Elo(538-MOV),0.6243,0.2357,0.9963,0.9020,0.8640,0.6938,0.9036,0.7500,Elo(basic)=47% / Elo(538-MOV)=53%,0.6400682678882731,0.8677164145274732,0.7539
elo_mov+parx,2,Elo(538-MOV) + PARX,0.6224,0.2354,0.9939,0.9025,0.8474,0.6735,0.9333,0.7863,Elo(538-MOV)=83% / PARX=17%,0.6170440582938259,0.8858813479337632,0.7515
elo_mov+ja_elo+parx,3,Elo(538-MOV) + J-A-Elo + PARX,0.6224,0.2354,0.9941,0.9025,0.8498,0.6816,0.9307,0.7782,Elo(538-MOV)=80% / J-A-Elo=5% / PARX=15%,0.614294594074483,0.8856819935800793,0.7500
elo_mov+mult_elo+parx,3,Elo(538-MOV) + Mult-Elo + PARX,0.6227,0.2354,0.9939,0.9025,0.8454,0.6694,0.9307,0.7823,Elo(538-MOV)=85% / Mult-Elo=0% / PARX=15%,0.6134841620549353,0.8853838356680714,0.7494
elo_mov+lin_elo+parx,3,Elo(538-MOV) + Lin-Elo + PARX,0.6227,0.2354,0.9939,0.9025,0.8454,0.6694,0.9307,0.7823,Elo(538-MOV)=85% / Lin-Elo=0% / PARX=15%,0.6134841620549353,0.8853838356680714,0.7494
elo_mov+log_elo+parx,3,Elo(538-MOV) + Log-Elo + PARX,0.6227,0.2354,0.9939,0.9025,0.8454,0.6694,0.9307,0.7823,Elo(538-MOV)=85% / Log-Elo=0% / PARX=15%,0.6134841620549353,0.8853838356680714,0.7494
