w1,w2,AUC,Brier
0.0,1.0,0.6249515687015686,0.23800702378399022
0.001,0.999,0.6249822812322812,0.238004308929354
0.002,0.998,0.6249775562275561,0.2380015991430654
0.003,0.997,0.6250177187677188,0.2379988944251244
0.004,0.996,0.6250673313173314,0.23799619477553102
0.005,0.995,0.6250696938196938,0.23799350019428528
0.006,0.994,0.6250460687960688,0.23799081068138722
0.007,0.993,0.6250366187866188,0.23798812623683677
0.008,0.992,0.6250248062748063,0.23798544686063394
0.009000000000000001,0.991,0.6250649688149689,0.23798277255277872
0.01,0.99,0.6251027688527688,0.23798010331327107
0.011,0.989,0.6251405688905689,0.23797743914211114
0.012,0.988,0.6251878189378189,0.23797478003929884
0.013000000000000001,0.987,0.6251949064449065,0.2379721260048342
0.014,0.986,0.625235068985069,0.23796947703871707
0.015,0.985,0.6252586940086939,0.23796683314094766
0.016,0.984,0.6252327064827065,0.23796419431152585
0.017,0.983,0.625244518994519,0.23796156055045173
0.018000000000000002,0.982,0.6252374314874314,0.23795893185772515
0.019,0.981,0.625239793989794,0.23795630823334626
0.02,0.98,0.6252256189756189,0.237953689677315
0.021,0.979,0.6252516065016065,0.2379510761896313
0.022,0.978,0.625268144018144,0.23794846777029532
0.023,0.977,0.6253035815535816,0.23794586441930693
0.024,0.976,0.6253248440748441,0.2379432661366662
0.025,0.975,0.6253342940842941,0.23794067292237303
0.026000000000000002,0.974,0.6253650066150067,0.23793808477642756
0.027,0.973,0.6254335191835192,0.23793550169882965
0.028,0.972,0.6254571442071442,0.23793292368957947
0.029,0.971,0.6254571442071442,0.23793035074867683
0.03,0.97,0.6254665942165942,0.23792778287612185
0.031,0.969,0.6254571442071443,0.23792522007191452
0.032,0.968,0.6255185692685693,0.23792266233605477
0.033,0.967,0.6255729068229068,0.2379201096685427
0.034,0.966,0.6256177943677944,0.23791756206937822
0.035,0.965,0.6256366943866943,0.23791501953856145
0.036000000000000004,0.964,0.6256225193725193,0.2379124820760922
0.037,0.963,0.6256177943677943,0.23790994968197063
0.038,0.962,0.6256130693630694,0.23790742235619675
0.039,0.961,0.6256319693819694,0.2379049000987704
0.04,0.96,0.625667406917407,0.23790238290969173
0.041,0.959,0.625695756945757,0.2378998707889607
0.042,0.958,0.6257028444528445,0.23789736373657727
0.043000000000000003,0.957,0.6257311944811945,0.2378948617525415
0.044,0.956,0.625743006993007,0.23789236483685333
0.045,0.955,0.6257878945378945,0.23788987298951278
0.046,0.954,0.6258162445662445,0.23788738621051994
0.047,0.953,0.6257808070308071,0.23788490449987465
0.048,0.952,0.625790257040257,0.237882427857577
0.049,0.951,0.6257831695331695,0.23787995628362701
0.05,0.95,0.6258067945567946,0.23787748977802461
0.051000000000000004,0.949,0.6258469570969571,0.23787502834076985
0.052000000000000005,0.948,0.6258587696087696,0.23787257197186276
0.053,0.947,0.6258729446229446,0.23787012067130325
0.054,0.946,0.6258729446229446,0.23786767443909146
0.055,0.945,0.6258682196182197,0.23786523327522716
0.056,0.944,0.6258658571158571,0.23786279717971057
0.057,0.943,0.6258800321300322,0.2378603661525416
0.058,0.942,0.6259107446607447,0.23785794019372028
0.059000000000000004,0.941,0.6259178321678323,0.23785551930324658
0.06,0.94,0.6259343696843698,0.23785310348112046
0.061,0.9390000000000001,0.6259178321678323,0.237850692727342
0.062,0.938,0.6259107446607446,0.23784828704191124
0.063,0.937,0.6259225571725572,0.23784588642482804
0.064,0.9359999999999999,0.6259532697032697,0.23784349087609244
0.065,0.935,0.6259272821772822,0.23784110039570455
0.066,0.9339999999999999,0.6259839822339823,0.23783871498366424
0.067,0.933,0.6260052447552447,0.23783633463997156
0.068,0.9319999999999999,0.6260217822717823,0.23783395936462656
0.069,0.931,0.6260926573426573,0.23783158915762911
0.07,0.9299999999999999,0.6261044698544699,0.23782922401897932
0.07100000000000001,0.929,0.6261139198639198,0.2378268639486772
0.07200000000000001,0.9279999999999999,0.6260950198450199,0.23782450894672272
0.073,0.927,0.6261044698544698,0.23782215901311585
0.074,0.926,0.6261139198639198,0.23781981414785655
0.075,0.925,0.626156444906445,0.23781747435094494
0.076,0.924,0.6261422698922698,0.2378151396223809
0.077,0.923,0.6262036949536949,0.23781280996216456
0.078,0.922,0.6262296824796825,0.23781048537029584
0.079,0.921,0.62622731997732,0.23780816584677472
0.08,0.92,0.6262485824985825,0.23780585139160124
0.081,0.919,0.6262580325080326,0.23780354200477538
0.082,0.918,0.6262651200151201,0.23780123768629713
0.083,0.917,0.6262958325458325,0.2377989384361666
0.084,0.916,0.6263336325836326,0.23779664425438363
0.085,0.915,0.6264257701757703,0.23779435514094827
0.08600000000000001,0.914,0.6264234076734077,0.23779207109586062
0.08700000000000001,0.913,0.6264517577017576,0.23778979211912052
0.088,0.912,0.6264706577206577,0.23778751821072805
0.089,0.911,0.6265037327537328,0.2377852493706833
0.09,0.91,0.6264777452277451,0.2377829855989861
0.091,0.909,0.6264706577206578,0.23778072689563653
0.092,0.908,0.6264942827442828,0.23777847326063464
0.093,0.907,0.6265438952938953,0.23777622469398035
0.094,0.906,0.6265651578151579,0.2377739811956737
0.095,0.905,0.6265769703269704,0.23777174276571467
0.096,0.904,0.6265604328104328,0.23776950940410327
0.097,0.903,0.6265864203364203,0.2377672811108395
0.098,0.902,0.6266171328671328,0.23776505788592334
0.099,0.901,0.6266596579096579,0.23776283972935483
0.1,0.9,0.6266714704214704,0.23776062664113395
0.101,0.899,0.6266880079380079,0.2377584186212607
0.10200000000000001,0.898,0.626721082971083,0.2377562156697351
0.10300000000000001,0.897,0.6267470704970706,0.23775401778655708
0.10400000000000001,0.896,0.6267659705159705,0.23775182497172678
0.105,0.895,0.6267470704970705,0.23774963722524403
0.106,0.894,0.626721082971083,0.23774745454710897
0.107,0.893,0.626725807975808,0.23774527693732148
0.108,0.892,0.626735257985258,0.23774310439588167
0.109,0.891,0.626782508032508,0.2377409369227894
0.11,0.89,0.6267943205443205,0.23773877451804484
0.111,0.889,0.626787233037233,0.2377366171816479
0.112,0.888,0.6268014080514082,0.23773446491359854
0.113,0.887,0.6268132205632205,0.2377323177138969
0.114,0.886,0.6268415705915706,0.23773017558254284
0.115,0.885,0.6269053581553581,0.23772803851953644
0.116,0.884,0.6269242581742582,0.23772590652487763
0.117,0.883,0.6269124456624456,0.23772377959856644
0.11800000000000001,0.882,0.6269171706671707,0.23772165774060292
0.11900000000000001,0.881,0.6268628331128332,0.23771954095098702
0.12,0.88,0.6268462955962956,0.23771742922971872
0.121,0.879,0.6268533831033831,0.2377153225767981
0.122,0.878,0.6268770081270081,0.23771322099222505
0.123,0.877,0.6269006331506332,0.23771112447599965
0.124,0.876,0.6268935456435456,0.2377090330281219
0.125,0.875,0.6269077206577207,0.2377069466485918
0.126,0.874,0.6269526082026082,0.2377048653374093
0.127,0.873,0.6269833207333206,0.23770278909457446
0.128,0.872,0.6269998582498583,0.2377007179200872
0.129,0.871,0.6269904082404083,0.23769865181394756
0.13,0.87,0.6270093082593082,0.23769659077615563
0.131,0.869,0.6270305707805708,0.23769453480671127
0.132,0.868,0.6270376582876582,0.23769248390561454
0.133,0.867,0.6270211207711208,0.2376904380728654
0.134,0.866,0.6270400207900207,0.23768839730846403
0.135,0.865,0.6270258457758459,0.2376863616124102
0.136,0.864,0.6270400207900209,0.23768433098470398
0.137,0.863,0.6270565583065584,0.2376823054253454
0.138,0.862,0.6270636458136458,0.23768028493433446
0.139,0.861,0.6270447457947458,0.23767826951167115
0.14,0.86,0.6270494707994707,0.23767625915735544
0.14100000000000001,0.859,0.6270683708183709,0.23767425387138744
0.14200000000000002,0.858,0.6270967208467209,0.237672253653767
0.14300000000000002,0.857,0.6271085333585333,0.2376702585044942
0.14400000000000002,0.856,0.6271486958986959,0.23766826842356908
0.145,0.855,0.6271794084294084,0.23766628341099155
0.146,0.854,0.627181770931771,0.23766430346676165
0.147,0.853,0.6271864959364959,0.23766232859087938
0.148,0.852,0.6271983084483084,0.2376603587833448
0.149,0.851,0.627224295974296,0.23765839404415776
0.15,0.85,0.627224295974296,0.23765643437331835
0.151,0.849,0.627276271026271,0.2376544797708266
0.152,0.848,0.6272975335475336,0.23765253023668248
0.153,0.847,0.6272880835380836,0.23765058577088605
0.154,0.846,0.6272951710451711,0.23764864637343716
0.155,0.845,0.6272786335286336,0.23764671204433593
0.156,0.844,0.627285721035721,0.2376447827835823
